index;venda chave;data venda;data chave;estado;regiao;cliente;segmento;cliente chave;id produto;produto ;preco;custo;desconto;quantidade;total venda
56;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;700; 7.711,99 
57;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 1.437,53 
58;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;1%;200; 2.335,22 
59;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;Q-M;Quiche M; 11,68 ; 7,82 ;0%;600; 2.875,05 
60;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;M-P;Mel P; 4,02 ; 2,70 ;0%;700; 3.354,23 
61;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;500; 2.395,88 
62;2022-111682;6/18/2022;20220618;PA;Nordeste;72. Café do Amanhecer;Café & Bistrô;1006;P-P;Panetone P; 8,03 ; 5,38 ;0%;600; 6.610,28 
63;2021-135545;11/24/2021;20211124;BA;Nordeste;31. Café Aconchego;Café & Bistrô;1067;M-P;Mel P; 4,02 ; 2,70 ;0%;700; 3.354,23 
64;2021-135545;11/24/2021;20211124;BA;Nordeste;31. Café Aconchego;Café & Bistrô;1067;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;300; 1.437,53 
65;2021-135545;11/24/2021;20211124;BA;Nordeste;31. Café Aconchego;Café & Bistrô;1067;Q-M;Quiche M; 11,68 ; 7,82 ;0%;800; 3.833,41 
66;2021-135545;11/24/2021;20211124;BA;Nordeste;31. Café Aconchego;Café & Bistrô;1067;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;300; 3.505,14 
67;2021-164175;4/30/2021;20210430;MS;Centro-Oeste;94. Café do Celeiro;Eventos;1001;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;3%;400; 7.679,97 
68;2020-106376;12/05/2020;20201205;GO;Centro-Oeste;15. Cozinha da Vovó;Restaurante;1068;P-P;Panetone P; 8,03 ; 5,38 ;2%;500; 2.596,63 
69;2020-106376;12/05/2020;20201205;GO;Centro-Oeste;15. Cozinha da Vovó;Restaurante;1068;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;700; 3.354,23 
70;2022-119823;06/05/2022;20220605;CE;Nordeste;63. Bistrô das Montanhas;Café & Bistrô;1035;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 1.557,98 
71;2022-106075;9/19/2022;20220919;PA;Nordeste;30. Mesa de Estrelas;Restaurante;1002;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;700; 8.178,67 
72;2023-114440;9/15/2023;20230915;GO;Centro-Oeste;73. Bistrô das Colinas;Café & Bistrô;1051;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 3.505,14 
73;2021-134026;4/26/2021;20210426;PR;Sul;47. Café da Esquina;Café & Bistrô;1072;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;200; 1.614,85 
74;2021-134026;4/26/2021;20210426;PR;Sul;47. Café da Esquina;Café & Bistrô;1072;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;400; 9.228,44 
75;2021-134026;4/26/2021;20210426;PR;Sul;47. Café da Esquina;Café & Bistrô;1072;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;600; 2.875,05 
76;2023-118038;12/10/2023;20231210;PE;Nordeste;3. Tortas & Cia;Indústria;1098;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;300; 1.437,53 
77;2023-118038;12/10/2023;20231210;PE;Nordeste;3. Tortas & Cia;Indústria;1098;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;600; 13.842,66 
78;2023-118038;12/10/2023;20231210;PE;Nordeste;3. Tortas & Cia;Indústria;1098;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;200; 958,35 
79;2020-147606;11/26/2020;20201126;PE;Nordeste;47. Café da Esquina;Café & Bistrô;1072;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;600; 2.875,05 
80;2022-127208;6/13/2022;20220613;CE;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;300; 1.437,53 
81;2022-127208;6/13/2022;20220613;CE;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;600; 2.875,05 
82;2020-139451;10/12/2020;20201012;BA;Nordeste;38. Bistrô do Sol;Café & Bistrô;1094;P-P;Panetone P; 8,03 ; 5,38 ;0%;800; 6.459,38 
83;2020-139451;10/12/2020;20201012;BA;Nordeste;38. Bistrô do Sol;Café & Bistrô;1094;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;600; 4.844,54 
84;2021-149734;09/03/2021;20210903;RS;Sul;33. Café & Prosa;Café & Bistrô;1032;G-G1;Galupe G1; 12,26 ; 8,22 ;2%;700; 16.149,77 
85;2023-119662;11/14/2023;20231114;MS;Centro-Oeste;2. Fábrica de Sonhos Doces;Indústria;1031;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;700; 16.149,77 
86;2023-140088;5/29/2023;20230529;GO;Centro-Oeste;15. Cozinha da Vovó;Restaurante;1068;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;600; 11.519,96 
87;2023-155558;10/27/2023;20231027;CE;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;M-P;Mel P; 4,02 ; 2,70 ;0%;600; 2.875,05 
88;2023-155558;10/27/2023;20231027;CE;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;700; 16.149,77 
89;2022-159695;04/06/2022;20220406;PE;Nordeste;63. Bistrô das Montanhas;Café & Bistrô;1035;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;300; 1.437,53 
90;2022-109806;9/18/2022;20220918;BA;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;P-P;Panetone P; 8,03 ; 5,38 ;0%;300; 1.437,53 
91;2022-109806;9/18/2022;20220918;BA;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;300; 6.921,33 
92;2022-109806;9/18/2022;20220918;BA;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 1.437,53 
93;2021-149587;1/31/2021;20210131;CE;Nordeste;15. Cozinha da Vovó;Restaurante;1068;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 1.437,53 
94;2021-149587;1/31/2021;20210131;CE;Nordeste;15. Cozinha da Vovó;Restaurante;1068;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;500; 5.838,04 
95;2021-149587;1/31/2021;20210131;CE;Nordeste;15. Cozinha da Vovó;Restaurante;1068;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;400; 1.916,70 
96;2023-109484;11/07/2023;20231107;CE;Nordeste;87. Bistrô das Rosas;Café & Bistrô;1095;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;600; 4.844,54 
97;2023-161018;11/10/2023;20231110;PA;Nordeste;40. Bistrô da Lua;Café & Bistrô;1014;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;600; 2.875,05 
98;2023-157833;6/18/2023;20230618;BA;Nordeste;20. Casa do Sabor;Restaurante;1093;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;300; 1.437,53 
99;2022-149223;09/07/2022;20220907;CE;Nordeste;21. Fogão de Lenha;Restaurante;1089;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;300; 1.437,53 
100;2022-158568;8/30/2022;20220830;MS;Centro-Oeste;51. Café da Montanha;Café & Bistrô;1075;Q-M;Quiche M; 11,68 ; 7,82 ;2%;300; 6.921,33 
101;2022-158568;8/30/2022;20220830;MS;Centro-Oeste;51. Café da Montanha;Café & Bistrô;1075;M-P;Mel P; 4,02 ; 2,70 ;2%;500; 5.508,57 
102;2022-158568;8/30/2022;20220830;MS;Centro-Oeste;51. Café da Montanha;Café & Bistrô;1075;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;600; 4.844,54 
103;2022-129903;12/02/2022;20221202;CE;Nordeste;22. Sabores do Oriente;Restaurante;1100;Q-M;Quiche M; 11,68 ; 7,82 ;0%;900; 4.312,58 
104;2021-156867;11/13/2021;20211113;SC;Sul;86. Café do Jardim;Café & Bistrô;1096;M-P;Mel P; 4,02 ; 2,70 ;2%;300; 1.437,53 
105;2021-156867;11/13/2021;20211113;SC;Sul;86. Café do Jardim;Café & Bistrô;1096;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;700; 16.149,77 
106;2021-156867;11/13/2021;20211113;SC;Sul;86. Café do Jardim;Café & Bistrô;1096;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;200; 1.614,85 
107;2023-119004;11/24/2023;20231124;RS;Sul;66. Café do Bosque;Café & Bistrô;1019;M-P;Mel P; 4,02 ; 2,70 ;2%;300; 5.759,98 
108;2023-119004;11/24/2023;20231124;RS;Sul;66. Café do Bosque;Café & Bistrô;1019;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;600; 2.875,05 
109;2023-119004;11/24/2023;20231124;RS;Sul;66. Café do Bosque;Café & Bistrô;1019;P-P;Panetone P; 8,03 ; 5,38 ;2%;400; 1.916,70 
110;2021-129476;10/15/2021;20211015;MS;Centro-Oeste;3. Tortas & Cia;Indústria;1098;M-P;Mel P; 4,02 ; 2,70 ;2%;800; 16.469,66 
111;2023-146780;12/26/2023;20231226;PA;Nordeste;6. Sabor & Arte;Restaurante;1078;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;300; 3.505,14 
112;2022-128867;11/04/2022;20221104;CE;Nordeste;86. Café do Jardim;Café & Bistrô;1096;P-P;Panetone P; 8,03 ; 5,38 ;0%;600; 11.519,96 
113;2022-128867;11/04/2022;20221104;CE;Nordeste;86. Café do Jardim;Café & Bistrô;1096;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;100; 479,18 
114;2020-115259;8/25/2020;20200825;GO;Centro-Oeste;19. Restaurante Estrela;Restaurante;1004;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;2%;200; 1.038,65 
115;2020-115259;8/25/2020;20200825;GO;Centro-Oeste;19. Restaurante Estrela;Restaurante;1004;G-G1;Galupe G1; 12,26 ; 8,22 ;2%;400; 1.916,70 
116;2020-115259;8/25/2020;20200825;GO;Centro-Oeste;19. Restaurante Estrela;Restaurante;1004;Q-M;Quiche M; 11,68 ; 7,82 ;2%;300; 2.422,27 
117;2020-115259;8/25/2020;20200825;GO;Centro-Oeste;19. Restaurante Estrela;Restaurante;1004;G-G1;Galupe G1; 12,26 ; 8,22 ;2%;300; 3.505,14 
118;2021-110457;03/02/2021;20210302;BA;Nordeste;22. Sabores do Oriente;Restaurante;1100;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;700; 13.439,96 
119;2021-136476;04/05/2021;20210405;PR;Sul;91. Bistrô das Abelhas;Eventos;1027;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;400; 4.670,44 
120;2022-103730;6/13/2022;20220613;MG;Sudeste;30. Mesa de Estrelas;Restaurante;1002;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;800; 4.154,61 
121;2022-103730;6/13/2022;20220613;MG;Sudeste;30. Mesa de Estrelas;Restaurante;1002;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;800; 3.833,41 
122;2022-103730;6/13/2022;20220613;MG;Sudeste;30. Mesa de Estrelas;Restaurante;1002;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;900; 4.673,93 
123;2022-103730;6/13/2022;20220613;MG;Sudeste;30. Mesa de Estrelas;Restaurante;1002;G-G1;Galupe G1; 12,26 ; 8,22 ;0%;300; 1.437,53 
124;2022-103730;6/13/2022;20220613;MG;Sudeste;30. Mesa de Estrelas;Restaurante;1002;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;200; 958,35 
125;2020-152030;12/26/2020;20201226;PE;Nordeste;65. Bistrô das Ondas;Café & Bistrô;1036;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;3%;100; 807,42 
126;2020-134614;9/20/2020;20200920;MS;Centro-Oeste;98. Café do Sol Poente;Eventos;1059;Q-P2;Quiche P2; 4,79 ; 3,21 ;5%;900; 4.312,58 
127;2023-107272;11/06/2023;20231106;GO;Centro-Oeste;50. Bistrô das Delícias;Café & Bistrô;1045;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;300; 6.921,33 
128;2023-107272;11/06/2023;20231106;GO;Centro-Oeste;50. Bistrô das Delícias;Café & Bistrô;1045;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;300; 1.437,53 
129;2022-125969;11/07/2022;20221107;BA;Nordeste;6. Sabor & Arte;Restaurante;1078;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;100; 1.167,61 
130;2022-125969;11/07/2022;20221107;BA;Nordeste;6. Sabor & Arte;Restaurante;1078;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;300; 1.437,53 
131;2023-164147;02/03/2023;20230203;GO;Centro-Oeste;35. Café do Livro;Café & Bistrô;1101;Q-P1;Quiche P1; 5,19 ; 3,48 ;4%;300; 1.437,53 
132;2023-164147;02/03/2023;20230203;GO;Centro-Oeste;35. Café do Livro;Café & Bistrô;1101;Q-M;Quiche M; 11,68 ; 7,82 ;2%;300; 1.437,53 
133;2023-164147;02/03/2023;20230203;GO;Centro-Oeste;35. Café do Livro;Café & Bistrô;1101;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;2%;400; 7.679,97 
134;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;Q-M;Quiche M; 11,68 ; 7,82 ;0%;900; 18.528,37 
135;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;Q-M;Quiche M; 11,68 ; 7,82 ;0%;200; 958,35 
136;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;P-P;Panetone P; 8,03 ; 5,38 ;0%;400; 9.228,44 
137;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;0%;100; 479,18 
138;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;400; 1.916,70 
139;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;Q-M;Quiche M; 11,68 ; 7,82 ;0%;500; 9.599,97 
140;2022-145583;10/14/2022;20221014;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;800; 9.347,05 
141;2022-110366;09/06/2022;20220906;CE;Nordeste;93. Bistrô das Colheitas;Eventos;1041;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;400; 3.229,69 
142;2023-106180;9/19/2023;20230919;BA;Nordeste;48. Bistrô do Campo;Café & Bistrô;1082;P-P;Panetone P; 8,03 ; 5,38 ;0%;600; 3.115,96 
143;2023-106180;9/19/2023;20230919;BA;Nordeste;48. Bistrô do Campo;Café & Bistrô;1082;G-G1;Galupe G1; 12,26 ; 8,22 ;0%;300; 1.437,53 
144;2023-106180;9/19/2023;20230919;BA;Nordeste;48. Bistrô do Campo;Café & Bistrô;1082;Q-M;Quiche M; 11,68 ; 7,82 ;0%;200; 4.614,22 
145;2023-155376;12/23/2023;20231223;CE;Nordeste;64. Café do Porto;Café & Bistrô;1022;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;300; 1.437,53 
146;2021-110744;09/07/2021;20210907;BA;Nordeste;5. Confeitaria Estrela;Indústria;1007;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;300; 1.437,53 
147;2020-110072;10/22/2020;20201022;GO;Centro-Oeste;25. Gourmet & Cia;Restaurante;1087;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;300; 2.422,27 
148;2022-114489;12/06/2022;20221206;SP;Sudeste;86. Café do Jardim;Café & Bistrô;1096;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;400; 9.228,44 
149;2022-114489;12/06/2022;20221206;SP;Sudeste;86. Café do Jardim;Café & Bistrô;1096;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;300; 1.437,53 
150;2022-114489;12/06/2022;20221206;SP;Sudeste;86. Café do Jardim;Café & Bistrô;1096;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;300; 1.437,53 
151;2022-114489;12/06/2022;20221206;SP;Sudeste;86. Café do Jardim;Café & Bistrô;1096;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;500; 2.395,88 
152;2022-158834;3/14/2022;20220314;GO;Centro-Oeste;49. Café & Sonhos;Café & Bistrô;1055;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;300; 3.505,14 
153;2022-158834;3/14/2022;20220314;GO;Centro-Oeste;49. Café & Sonhos;Café & Bistrô;1055;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;200; 958,35 
